Timestamp,Asset_ID,Latitude,Longitude,Inventory_Level,Shipment_Status,Temperature,Humidity,Traffic_Status,Waiting_Time,User_Transaction_Amount,User_Purchase_Frequency,Logistics_Delay_Reason,Asset_Utilization,Demand_Forecast,Logistics_Delay,timestamp_month,timestamp_day,timestamp_hour,timestamp_weekday,is_weekend,is_night,is_business_hours,hour_sin,hour_cos,month_sin,month_cos,abs_latitude,abs_longitude,distance_from_origin,inventory_to_demand_ratio,inventory_minus_demand,utilization_x_waiting,traffic_waiting_pressure,humidity_temperature_index,purchase_value_score,is_heavy_traffic,is_detour,is_clear_traffic
2024-03-20 00:11:14,Truck_7,-65.7383,11.2497,390,Delayed,27.0,67.8,Detour,38,320,4,,60.1,285,1,3,20,0,2,0,1,0,0.0,1.0,1.0,6.123233995736766e-17,65.7383,11.2497,66.69392653742918,1.3636363636363635,105,2283.8,38,1830.6,1280,0,1,0
2024-10-30 07:53:51,Truck_6,22.2748,-131.7086,491,In Transit,22.5,54.3,Heavy,16,439,7,Weather,80.9,174,1,10,30,7,2,0,0,0,0.9659258262890683,-0.25881904510252063,-0.8660254037844386,0.5000000000000001,22.2748,131.7086,133.57889814263328,2.8057142857142856,317,1294.4,16,1221.75,3073,1,0,0
2024-07-29 18:42:48,Truck_10,54.9232,79.5455,190,In Transit,25.2,62.2,Detour,34,355,3,,99.2,260,0,7,29,18,0,0,0,0,-1.0,-1.8369701987210297e-16,-0.4999999999999997,-0.8660254037844388,54.9232,79.5455,96.66459780338405,0.7279693486590039,-70,3372.8,34,1567.44,1065,0,1,0
2024-10-28 00:50:54,Truck_9,42.39,-1.4788,330,Delivered,25.4,52.3,Heavy,37,227,5,Traffic,97.4,160,1,10,28,0,0,0,1,0,0.0,1.0,-0.8660254037844386,0.5000000000000001,42.39,1.4788,42.415786559251735,2.049689440993789,170,3603.8,37,1328.4199999999998,1135,1,0,0
2024-09-27 15:52:58,Truck_7,-65.8477,47.9468,480,Delayed,20.5,57.2,Clear,56,197,6,,71.6,270,1,9,27,15,4,0,0,1,-0.7071067811865471,-0.7071067811865479,-1.0,-1.8369701987210297e-16,65.8477,47.9468,81.45437511595065,1.7712177121771218,210,4009.5999999999995,0,1172.6000000000001,1182,0,0,1
2024-09-17 06:02:15,Truck_7,73.3312,46.5831,118,In Transit,24.3,61.8,Clear,56,258,10,,66.8,189,0,9,17,6,1,0,0,0,1.0,6.123233995736766e-17,-1.0,-1.8369701987210297e-16,73.3312,46.5831,86.87606171466338,0.6210526315789474,-71,3740.7999999999997,0,1501.74,2580,0,0,1
2024-02-05 08:38:56,Truck_4,27.9307,147.5317,480,Delayed,20.7,75.4,Clear,32,263,3,,73.3,198,1,2,5,8,0,0,0,1,0.8660254037844387,-0.4999999999999998,0.8660254037844386,0.5000000000000001,27.9307,147.5317,150.15234432861845,2.4120603015075375,282,2345.6,0,1560.78,789,0,0,1
2024-09-28 09:08:23,Truck_9,46.5643,-126.5348,222,In Transit,23.3,64.2,Detour,30,459,9,Traffic,73.8,253,0,9,28,9,5,1,0,1,0.7071067811865476,-0.7071067811865475,-1.0,-1.8369701987210297e-16,46.5643,126.5348,134.83059610314714,0.8740157480314961,-31,2214.0,30,1495.8600000000001,4131,0,1,0
2024-01-18 08:27:04,Truck_9,-83.6737,-31.7125,245,Delivered,26.4,77.2,Clear,14,183,2,,69.6,206,0,1,18,8,3,0,0,1,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,83.6737,31.7125,89.48167816899725,1.183574879227053,39,974.3999999999999,0,2038.08,366,0,0,1
2024-11-09 00:48:26,Truck_2,54.1683,-135.2676,389,In Transit,21.9,57.3,Clear,52,127,7,Mechanical Failure,63.1,224,0,11,9,0,5,1,1,0,0.0,1.0,-0.5000000000000004,0.8660254037844384,54.1683,135.2676,145.7104263072825,1.728888888888889,165,3281.2000000000003,0,1254.87,889,0,0,1
2024-01-09 23:19:43,Truck_9,82.9633,-154.5274,319,Delayed,22.0,53.5,Clear,28,360,4,,69.8,171,1,1,9,23,1,0,0,0,-0.25881904510252157,0.9659258262890681,0.49999999999999994,0.8660254037844387,82.9633,154.5274,175.38992701306992,1.8546511627906976,148,1954.3999999999999,0,1177.0,1440,0,0,1
2024-02-02 22:28:16,Truck_10,-25.2768,156.1262,234,Delivered,29.7,63.6,Detour,13,406,10,Traffic,85.5,238,0,2,2,22,4,0,0,0,-0.5000000000000004,0.8660254037844384,0.8660254037844386,0.5000000000000001,25.2768,156.1262,158.1591190689933,0.9790794979079498,-4,1111.5,13,1888.92,4060,0,1,0
2024-02-17 21:14:42,Truck_8,-65.526,-3.0202,154,In Transit,21.5,74.2,Detour,38,215,3,Weather,84.4,114,0,2,17,21,5,1,0,0,-0.7071067811865477,0.7071067811865474,0.8660254037844386,0.5000000000000001,65.526,3.0202,65.59556603948165,1.3391304347826087,40,3207.2000000000003,38,1595.3,645,0,1,0
2024-03-04 06:44:50,Truck_2,-26.1836,-30.3641,348,Delivered,27.3,71.6,Detour,30,211,2,,96.4,115,0,3,4,6,0,0,0,0,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,26.1836,30.3641,40.094382122312346,3.0,233,2892.0,30,1954.6799999999998,422,0,1,0
2024-08-28 12:19:14,Truck_3,2.6709,-80.8879,163,In Transit,25.1,76.8,Heavy,54,320,5,Weather,93.2,231,1,8,28,12,2,0,0,1,1.2246467991473532e-16,-1.0,-0.8660254037844384,-0.5000000000000004,2.6709,80.8879,80.93198424121331,0.7025862068965517,-68,5032.8,54,1927.68,1600,1,0,0
2024-01-04 22:52:43,Truck_5,-22.4793,-54.5143,130,Delayed,23.7,68.1,Clear,45,487,4,Traffic,84.1,256,1,1,4,22,3,0,0,0,-0.5000000000000004,0.8660254037844384,0.49999999999999994,0.8660254037844387,22.4793,54.5143,58.967175894560185,0.5058365758754864,-126,3784.4999999999995,0,1613.9699999999998,1948,0,0,1
2024-10-30 17:52:03,Truck_4,-34.5353,-40.8617,391,Delayed,21.6,72.5,Clear,58,298,7,Traffic,61.5,170,1,10,30,17,2,0,0,1,-0.9659258262890683,-0.25881904510252063,-0.8660254037844386,0.5000000000000001,34.5353,40.8617,53.501079175844666,2.2865497076023393,221,3567.0,0,1566.0,2086,0,0,1
2024-07-15 15:42:02,Truck_7,-8.7105,-17.8347,344,Delayed,21.4,53.5,Detour,23,461,9,,93.4,106,1,7,15,15,0,0,0,1,-0.7071067811865471,-0.7071067811865479,-0.4999999999999997,-0.8660254037844388,8.7105,17.8347,19.848156950709555,3.2149532710280373,238,2148.2000000000003,23,1144.8999999999999,4149,0,1,0
2024-01-19 06:42:30,Truck_5,14.6629,116.0696,409,Delayed,27.5,66.6,Detour,29,492,3,,72.6,204,1,1,19,6,4,0,0,0,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,14.6629,116.0696,116.99210520616337,1.9951219512195122,205,2105.3999999999996,29,1831.4999999999998,1476,0,1,0
2024-04-28 21:23:34,Truck_10,75.7743,108.9425,457,In Transit,25.5,75.9,Clear,21,315,3,Traffic,83.4,248,0,4,28,21,6,1,0,0,-0.7071067811865477,0.7071067811865474,0.8660254037844387,-0.4999999999999998,75.7743,108.9425,132.70347714638075,1.8353413654618473,209,1751.4,0,1935.45,945,0,0,1
2024-03-06 20:00:26,Truck_5,50.3419,108.5647,207,Delivered,29.3,59.4,Detour,31,174,5,Mechanical Failure,65.9,195,0,3,6,20,2,0,0,0,-0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,50.3419,108.5647,119.66871346220782,1.0561224489795917,12,2042.9,31,1740.42,870,0,1,0
2024-11-20 16:38:07,Truck_8,-6.6729,132.6727,155,Delivered,19.4,53.2,Heavy,20,152,1,Mechanical Failure,99.3,235,1,11,20,16,2,0,0,1,-0.8660254037844384,-0.5000000000000004,-0.5000000000000004,0.8660254037844384,6.6729,132.6727,132.84040394285165,0.6567796610169492,-80,1986.0,20,1032.08,152,1,0,0
2024-01-07 09:13:28,Truck_6,-74.1751,-102.7331,314,Delivered,19.9,64.8,Detour,57,396,10,Weather,78.6,135,0,1,7,9,6,1,0,1,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387,74.1751,102.7331,126.71241176625121,2.3088235294117645,179,4480.2,57,1289.5199999999998,3960,0,1,0
2024-09-25 15:12:12,Truck_10,-33.2264,169.6187,156,In Transit,27.2,74.4,Clear,35,354,2,Weather,63.1,282,0,9,25,15,2,0,0,1,-0.7071067811865471,-0.7071067811865479,-1.0,-1.8369701987210297e-16,33.2264,169.6187,172.84240523277265,0.5512367491166078,-126,2208.5,0,2023.68,708,0,0,1
2024-02-11 13:30:18,Truck_2,-34.4469,93.1585,119,In Transit,28.1,72.4,Detour,41,176,2,,60.9,238,0,2,11,13,6,1,0,1,-0.2588190451025208,-0.9659258262890683,0.8660254037844386,0.5000000000000001,34.4469,93.1585,99.323184815329,0.497907949790795,-119,2496.9,41,2034.4400000000003,352,0,1,0
2024-11-20 11:22:13,Truck_3,-13.511,141.8454,112,In Transit,19.7,76.6,Detour,22,121,3,Traffic,80.9,262,0,11,20,11,2,0,0,1,0.258819045102521,-0.9659258262890682,-0.5000000000000004,0.8660254037844384,13.511,141.8454,142.48741917151844,0.42585551330798477,-150,1779.8000000000002,22,1509.0199999999998,363,0,1,0
2024-06-25 02:26:25,Truck_3,-22.427,108.2306,435,Delivered,25.8,78.6,Heavy,22,220,7,Traffic,90.8,101,1,6,25,2,1,0,1,0,0.49999999999999994,0.8660254037844387,1.2246467991473532e-16,-1.0,22.427,108.2306,110.5297837931478,4.264705882352941,334,1997.6,22,2027.8799999999999,1540,1,0,0
2024-06-25 00:01:12,Truck_9,43.3353,-12.0683,422,Delivered,20.0,62.9,Heavy,14,184,9,Traffic,64.0,248,1,6,25,0,1,0,1,0,0.0,1.0,1.2246467991473532e-16,-1.0,43.3353,12.0683,44.984353846420866,1.6947791164658634,174,896.0,14,1258.0,1656,1,0,0
2024-05-02 02:33:56,Truck_4,-66.7517,161.45,353,In Transit,20.5,52.0,Heavy,26,392,7,Traffic,76.4,155,1,5,2,2,3,0,1,0,0.49999999999999994,0.8660254037844387,0.49999999999999994,-0.8660254037844387,66.7517,161.45,174.7051572017552,2.2628205128205128,198,1986.4,26,1066.0,2744,1,0,0
2024-08-10 00:04:40,Truck_8,-65.7349,-173.3011,299,Delayed,23.9,50.1,Heavy,17,315,6,,88.3,252,1,8,10,0,5,1,1,0,0.0,1.0,-0.8660254037844384,-0.5000000000000004,65.7349,173.3011,185.349260422641,1.1818181818181819,47,1501.1,17,1197.3899999999999,1890,1,0,0
2024-05-13 03:20:21,Truck_1,-55.4768,18.2551,261,Delayed,22.5,78.4,Clear,41,209,6,Mechanical Failure,71.8,240,1,5,13,3,0,0,1,0,0.7071067811865475,0.7071067811865476,0.49999999999999994,-0.8660254037844387,55.4768,18.2551,58.40311647720522,1.0829875518672198,21,2943.7999999999997,0,1764.0000000000002,1254,0,0,1
